Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2022-01-06,10:00 AM,55 °F,43 °F,63 %,NW,10 mph,0 mph,28.13 in,0.0 in,Fair
2022-01-06,11:00 AM,61 °F,39 °F,45 %,N,10 mph,0 mph,28.13 in,0.0 in,Fair
2022-01-06,12:00 PM,63 °F,39 °F,42 %,N,15 mph,0 mph,28.11 in,0.0 in,Fair
2022-01-06,1:00 PM,63 °F,39 °F,42 %,N,13 mph,0 mph,28.08 in,0.0 in,Fair
2022-01-06,2:00 PM,66 °F,37 °F,35 %,NNW,12 mph,0 mph,28.05 in,0.0 in,Fair
2022-01-06,3:00 PM,66 °F,37 °F,35 %,NNW,10 mph,0 mph,28.05 in,0.0 in,Fair
2022-01-06,4:00 PM,64 °F,36 °F,34 %,NW,9 mph,0 mph,28.05 in,0.0 in,Fair
2022-01-06,5:00 PM,63 °F,36 °F,37 %,NNW,9 mph,0 mph,28.05 in,0.0 in,Fair
2022-01-06,6:00 PM,59 °F,37 °F,45 %,NNE,8 mph,0 mph,28.08 in,0.0 in,Fair
2022-01-06,7:00 PM,57 °F,39 °F,51 %,NNE,7 mph,0 mph,28.08 in,0.0 in,Fair
2022-01-06,8:00 PM,55 °F,37 °F,51 %,NNE,7 mph,0 mph,28.08 in,0.0 in,Fair
2022-01-06,9:00 PM,52 °F,39 °F,62 %,N,3 mph,0 mph,28.08 in,0.0 in,Fair
2022-01-06,10:00 PM,50 °F,39 °F,66 %,N,5 mph,0 mph,28.08 in,0.0 in,Fair
2022-01-06,11:00 PM,50 °F,39 °F,66 %,WNW,3 mph,0 mph,28.08 in,0.0 in,Fair
2022-01-07,12:00 AM,48 °F,37 °F,66 %,WNW,5 mph,0 mph,28.08 in,0.0 in,Fair
2022-01-07,1:00 AM,46 °F,37 °F,71 %,W,5 mph,0 mph,28.08 in,0.0 in,Fair
2022-01-07,2:00 AM,46 °F,37 °F,71 %,WNW,5 mph,0 mph,28.08 in,0.0 in,Fair
2022-01-07,3:00 AM,46 °F,34 °F,62 %,WNW,2 mph,0 mph,28.05 in,0.0 in,Fair
2022-01-07,4:00 AM,43 °F,37 °F,81 %,WNW,2 mph,0 mph,28.05 in,0.0 in,Fair
2022-01-07,5:00 AM,43 °F,36 °F,76 %,WNW,3 mph,0 mph,28.05 in,0.0 in,Fair
2022-01-07,6:00 AM,41 °F,34 °F,76 %,WNW,6 mph,0 mph,28.08 in,0.0 in,Fair
2022-01-07,7:00 AM,41 °F,34 °F,76 %,NW,2 mph,0 mph,28.11 in,0.0 in,Fair
2022-01-07,8:00 AM,46 °F,37 °F,71 %,NNW,2 mph,0 mph,28.11 in,0.0 in,Fair
2022-01-07,9:00 AM,50 °F,37 °F,62 %,WNW,5 mph,0 mph,28.13 in,0.0 in,Fair
